"","A","B","C","D","E"
"1","c","c","c","a","c"
"2","c","c","b","b","b"
"3","a","c","a","a","c"
"4","b","a","a","b","a"
"5","c","c","a","c","c"
"6","c","c","a","c","b"
"7","c","c","a","c","a"
"8","b","b","a","b","c"
"9","c","c","a","c","a"
"10","b","c","a","b","b"
"11","c","c","a","c","c"
"12","c","c","a","c","c"
"13","a","a","a","a","b"
"14","b","c","a","b","b"
"15","c","a","b","a","c"
"16","c","c","a","c","b"
"17","b","a","a","b","b"
"18","a","c","b","a","a"
"19","a","a","c","c","b"
"20","b","c","a","c","c"
"21","c","b","a","c","c"
"22","a","a","a","a","a"
"23","c","c","a","c","c"
"24","b","b","a","b","c"
"25","c","c","a","c","b"
"26","a","a","a","b","a"
"27","a","a","b","c","a"
"28","c","c","a","c","c"
"29","a","a","a","a","a"
"30","b","a","b","a","b"
"31","b","c","a","b","a"
"32","c","b","a","c","b"
"33","c","c","a","c","c"
"34","b","a","a","b","c"
"35","b","c","a","a","c"
"36","a","a","a","a","c"
"37","c","c","b","b","c"
"38","c","c","a","c","a"
"39","a","c","a","a","c"
"40","a","a","b","b","a"
"41","c","c","a","c","c"
"42","c","c","a","c","c"
"43","c","c","b","b","c"
"44","b","b","b","a","a"
"45","c","c","a","c","c"
"46","a","a","b","c","a"
"47","c","c","a","b","c"
"48","c","c","b","c","b"
"49","c","c","a","c","b"
"50","c","c","a","c","c"
"51","a","a","a","a","a"
"52","c","c","b","a","c"
"53","a","a","a","a","b"
"54","a","a","a","a","a"
"55","b","b","a","b","c"
"56","b","a","a","b","b"
"57","b","a","a","b","a"
"58","c","c","a","c","b"
"59","b","a","a","b","b"
"60","c","c","a","a","c"
"61","b","c","a","b","b"
"62","b","b","a","b","c"
"63","b","c","b","a","c"
"64","b","a","a","b","c"
"65","a","c","a","a","c"
"66","b","a","b","a","a"
"67","a","a","b","c","b"
"68","c","c","a","c","c"
"69","c","a","a","c","b"
"70","c","b","a","b","a"
"71","c","c","b","b","c"
"72","c","c","c","c","a"
"73","a","a","c","c","b"
"74","b","a","a","b","a"
"75","b","c","b","a","b"
"76","b","a","a","c","a"
"77","c","c","b","a","c"
"78","b","a","a","b","c"
"79","b","c","b","a","c"
"80","c","c","b","a","a"
"81","a","a","a","a","a"
"82","b","c","a","b","b"
"83","b","c","b","a","c"
"84","c","c","a","c","b"
"85","a","a","a","a","a"
"86","a","a","b","c","b"
"87","c","b","a","c","a"
"88","b","a","c","b","a"
"89","b","c","a","b","c"
"90","b","b","a","b","a"
"91","a","a","a","b","b"
"92","a","c","b","a","b"
"93","b","a","a","b","a"
"94","a","a","a","a","b"
"95","a","a","a","a","b"
"96","b","c","a","b","b"
"97","b","c","a","c","c"
"98","b","a","b","a","b"
"99","a","a","a","c","b"
"100","a","c","b","b","b"
"101","b","c","a","b","c"
"102","a","a","a","a","a"
"103","c","c","b","a","a"
"104","c","c","b","a","b"
"105","a","a","a","a","a"
"106","b","b","a","c","b"
"107","c","b","a","a","b"
"108","b","b","a","a","b"
"109","b","b","b","a","c"
"110","b","a","c","c","b"
"111","c","c","a","b","b"
"112","a","c","b","c","b"
"113","c","c","c","c","c"
"114","c","c","a","a","c"
"115","a","a","a","a","b"
"116","a","a","a","b","a"
"117","a","c","a","a","c"
"118","b","b","b","a","a"
"119","c","c","a","c","c"
"120","a","a","a","c","a"
"121","b","b","a","b","c"
"122","c","c","a","c","a"
"123","b","a","a","b","a"
"124","c","b","a","c","c"
"125","b","c","a","b","b"
"126","b","b","a","b","c"
"127","c","c","a","c","b"
"128","a","a","a","a","a"
"129","b","a","a","b","a"
"130","b","c","a","b","a"
"131","b","c","a","b","c"
"132","a","a","a","a","a"
"133","c","c","a","c","b"
"134","b","b","a","b","c"
"135","c","c","a","c","c"
"136","c","c","a","c","a"
"137","a","c","a","a","c"
"138","c","c","a","c","a"
"139","b","a","a","b","a"
"140","a","a","a","a","c"
"141","b","a","a","b","a"
"142","b","b","a","b","b"
"143","c","c","a","c","c"
"144","b","a","a","c","b"
"145","b","c","b","a","a"
"146","a","a","b","b","a"
"147","a","c","a","a","c"
"148","a","b","b","c","c"
"149","c","c","a","c","a"
"150","a","c","a","a","c"
"151","c","c","a","c","b"
"152","c","a","a","c","a"
"153","c","c","a","c","c"
"154","b","c","a","b","c"
"155","c","c","a","c","c"
"156","a","a","b","b","c"
"157","b","a","b","a","b"
"158","a","c","a","a","c"
"159","b","b","c","a","a"
"160","a","a","a","a","a"
"161","c","c","a","c","b"
"162","a","a","c","a","a"
"163","c","b","a","c","b"
"164","b","c","a","a","c"
"165","a","a","a","a","a"
"166","b","c","b","c","c"
"167","b","a","a","b","a"
"168","b","c","a","b","a"
"169","c","c","a","c","a"
"170","c","c","a","c","a"
"171","a","a","a","a","a"
"172","c","c","a","a","b"
"173","b","a","b","a","b"
"174","a","a","a","a","a"
"175","c","c","a","c","a"
"176","b","a","a","b","b"
"177","c","c","a","c","b"
"178","c","c","b","c","c"
"179","a","a","b","c","b"
"180","b","b","a","b","c"
"181","c","c","a","c","b"
"182","c","c","a","c","c"
"183","a","b","b","c","b"
"184","a","a","a","b","b"
"185","b","a","a","b","a"
"186","a","a","a","a","a"
"187","a","a","a","c","a"
"188","a","a","a","a","b"
"189","c","a","a","c","b"
"190","c","c","a","c","c"
"191","b","c","a","b","b"
"192","c","b","a","b","c"
"193","c","c","a","c","b"
"194","b","a","a","b","a"
"195","b","c","b","c","c"
"196","b","a","a","b","a"
"197","a","a","a","a","b"
